attack_row_id,date_complete,annee,pays,zone,localite,activite,type_attaque,attack_latitude,attack_longitude,species,nearest_gbif_record_id,nearest_distance_km,gbif_coordinate_uncertainty_m,distance_band,occurrences_within_25km,occurrences_within_100km,juvenile_occurrences_within_100km,gbif_observed_at,gbif_source_url
95,1839-11-17,1839,AUSTRALIA,New South Wales,,Inconnue,Invalid,-32.1629594,147.0320469,Carcharodon carcharias,6159298926,509.4,,pas_de_proximite_100km,0,0,0,2026-02-03T04:38:07,https://www.gbif.org/occurrence/6159298926
95,1839-11-17,1839,AUSTRALIA,New South Wales,,Inconnue,Invalid,-32.1629594,147.0320469,Galeocerdo cuvier,6133086834,764.62,5.0,pas_de_proximite_100km,0,0,0,2026-02-02T13:14:46,https://www.gbif.org/occurrence/6133086834
95,1839-11-17,1839,AUSTRALIA,New South Wales,,Inconnue,Invalid,-32.1629594,147.0320469,Rhincodon typus,5938466615,1793.58,30841.0,pas_de_proximite_100km,0,0,0,2026-01-03T11:33,https://www.gbif.org/occurrence/5938466615
105,1842-01-01,1842,AUSTRALIA,New South Wales,Sydney Harbor,"Unknown, but it was said to be the First known attack in Sydney Harbour",Unprovoked,-33.8661645,151.1995721,Carcharhinus leucas,6481240461,13.42,17.0,proximite_forte,1,1,0,2026-01-22T00:00,https://www.gbif.org/occurrence/6481240461
105,1842-01-01,1842,AUSTRALIA,New South Wales,Sydney Harbor,"Unknown, but it was said to be the First known attack in Sydney Harbour",Unprovoked,-33.8661645,151.1995721,Carcharodon carcharias,6159298926,249.7,,pas_de_proximite_100km,0,0,0,2026-02-03T04:38:07,https://www.gbif.org/occurrence/6159298926
105,1842-01-01,1842,AUSTRALIA,New South Wales,Sydney Harbor,"Unknown, but it was said to be the First known attack in Sydney Harbour",Unprovoked,-33.8661645,151.1995721,Galeocerdo cuvier,6133086834,663.6,5.0,pas_de_proximite_100km,0,0,0,2026-02-02T13:14:46,https://www.gbif.org/occurrence/6133086834
105,1842-01-01,1842,AUSTRALIA,New South Wales,Sydney Harbor,"Unknown, but it was said to be the First known attack in Sydney Harbour",Unprovoked,-33.8661645,151.1995721,Rhincodon typus,6235620031,2050.57,28818.0,pas_de_proximite_100km,0,0,0,2026-02-19T12:26,https://www.gbif.org/occurrence/6235620031
113,1845-07-31,1845,USA,Florida,"Pensacola Bay, Escambia County",Fell overboard,Unprovoked,30.388064,-87.1876779,Carcharhinus leucas,6470427141,22.49,29382.0,proximite_forte,1,4,1,2026-07-05T17:40:05,https://www.gbif.org/occurrence/6470427141
113,1845-07-31,1845,USA,Florida,"Pensacola Bay, Escambia County",Fell overboard,Unprovoked,30.388064,-87.1876779,Carcharodon carcharias,6400039718,31.11,49.0,proximite_regionale,0,1,1,2026-02-25T14:55,https://www.gbif.org/occurrence/6400039718
113,1845-07-31,1845,USA,Florida,"Pensacola Bay, Escambia County",Fell overboard,Unprovoked,30.388064,-87.1876779,Galeocerdo cuvier,6399625675,63.37,29382.0,proximite_regionale,0,2,1,2026-05-18T11:02:32,https://www.gbif.org/occurrence/6399625675
113,1845-07-31,1845,USA,Florida,"Pensacola Bay, Escambia County",Fell overboard,Unprovoked,30.388064,-87.1876779,Rhincodon typus,6178385871,444.77,29751.0,pas_de_proximite_100km,0,0,0,2026-03-06T11:12:50,https://www.gbif.org/occurrence/6178385871
115,1845-12-26,1845,AUSTRALIA,New South Wales,Newcastle,Fishing,Unprovoked,-32.9192953,151.7795348,Carcharhinus leucas,6481240461,120.63,17.0,pas_de_proximite_100km,0,0,0,2026-01-22T00:00,https://www.gbif.org/occurrence/6481240461
115,1845-12-26,1845,AUSTRALIA,New South Wales,Newcastle,Fishing,Unprovoked,-32.9192953,151.7795348,Carcharodon carcharias,6162878281,340.27,7.0,pas_de_proximite_100km,0,0,0,2026-02-22T09:03:13,https://www.gbif.org/occurrence/6162878281
115,1845-12-26,1845,AUSTRALIA,New South Wales,Newcastle,Fishing,Unprovoked,-32.9192953,151.7795348,Galeocerdo cuvier,6133086834,546.3,5.0,pas_de_proximite_100km,0,0,0,2026-02-02T13:14:46,https://www.gbif.org/occurrence/6133086834
115,1845-12-26,1845,AUSTRALIA,New South Wales,Newcastle,Fishing,Unprovoked,-32.9192953,151.7795348,Rhincodon typus,5938466615,1967.14,30841.0,pas_de_proximite_100km,0,0,0,2026-01-03T11:33,https://www.gbif.org/occurrence/5938466615
116,1845-09-10,1845,USA,Florida,"Pensacola Bay, Escambia County",Seine netting,Unprovoked,30.388064,-87.1876779,Carcharhinus leucas,6470427141,22.49,29382.0,proximite_forte,1,4,1,2026-07-05T17:40:05,https://www.gbif.org/occurrence/6470427141
116,1845-09-10,1845,USA,Florida,"Pensacola Bay, Escambia County",Seine netting,Unprovoked,30.388064,-87.1876779,Carcharodon carcharias,6400039718,31.11,49.0,proximite_regionale,0,1,1,2026-02-25T14:55,https://www.gbif.org/occurrence/6400039718
116,1845-09-10,1845,USA,Florida,"Pensacola Bay, Escambia County",Seine netting,Unprovoked,30.388064,-87.1876779,Galeocerdo cuvier,6399625675,63.37,29382.0,proximite_regionale,0,2,1,2026-05-18T11:02:32,https://www.gbif.org/occurrence/6399625675
116,1845-09-10,1845,USA,Florida,"Pensacola Bay, Escambia County",Seine netting,Unprovoked,30.388064,-87.1876779,Rhincodon typus,6178385871,444.77,29751.0,pas_de_proximite_100km,0,0,0,2026-03-06T11:12:50,https://www.gbif.org/occurrence/6178385871
120,1847-07-03,1847,USA,Hawaii,,Hilo,Unprovoked,19.5938015,-155.4283701,Carcharhinus leucas,6334261088,4741.35,30175.0,pas_de_proximite_100km,0,0,0,2026-05-21T11:26,https://www.gbif.org/occurrence/6334261088
120,1847-07-03,1847,USA,Hawaii,,Hilo,Unprovoked,19.5938015,-155.4283701,Carcharodon carcharias,6480838932,1194.6,1584228.0,pas_de_proximite_100km,0,0,0,2026-06-24T10:02:07,https://www.gbif.org/occurrence/6480838932
120,1847-07-03,1847,USA,Hawaii,,Hilo,Unprovoked,19.5938015,-155.4283701,Galeocerdo cuvier,6470061880,65.6,30545.0,proximite_regionale,0,3,0,2026-07-13T09:59,https://www.gbif.org/occurrence/6470061880
120,1847-07-03,1847,USA,Hawaii,,Hilo,Unprovoked,19.5938015,-155.4283701,Rhincodon typus,6194532302,61.33,111319.49,proximite_regionale,0,1,0,2026-01-22,https://www.gbif.org/occurrence/6194532302
122,1847-11-30,1847,AUSTRALIA,Queensland,Brisbane River,Swimming,Unprovoked,-27.1609698,152.5361974,Carcharhinus leucas,6252593084,45.47,202.0,proximite_regionale,0,7,5,2026-05-01T00:00,https://www.gbif.org/occurrence/6252593084
122,1847-11-30,1847,AUSTRALIA,Queensland,Brisbane River,Swimming,Unprovoked,-27.1609698,152.5361974,Carcharodon carcharias,6162878281,334.77,7.0,pas_de_proximite_100km,0,0,0,2026-02-22T09:03:13,https://www.gbif.org/occurrence/6162878281
122,1847-11-30,1847,AUSTRALIA,Queensland,Brisbane River,Swimming,Unprovoked,-27.1609698,152.5361974,Galeocerdo cuvier,6133086834,159.89,5.0,pas_de_proximite_100km,0,0,0,2026-02-02T13:14:46,https://www.gbif.org/occurrence/6133086834
122,1847-11-30,1847,AUSTRALIA,Queensland,Brisbane River,Swimming,Unprovoked,-27.1609698,152.5361974,Rhincodon typus,5938466615,1414.56,30841.0,pas_de_proximite_100km,0,0,0,2026-01-03T11:33,https://www.gbif.org/occurrence/5938466615
