rang,pays,zone,localite,incidents_declares
1,USA,Florida,"New Smyrna Beach, Volusia County",190
2,USA,Florida,"Daytona Beach, Volusia County",34
3,USA,Florida,"Ponce Inlet, Volusia County",26
4,USA,Florida,"Melbourne Beach, Brevard County",21
5,BAHAMAS,Inconnu,Inconnu,20
6,USA,Florida,"Cocoa Beach, Brevard  County",19
7,USA,South Carolina,"Myrtle Beach, Horry County",19
8,USA,South Carolina,"Isle of Palms, Charleston County",16
9,BRAZIL,Pernambuco,"Boa Viagem, Recife",14
10,BRAZIL,Pernambuco,Piedade,14
11,SOUTH AFRICA,KwaZulu-Natal,Durban,13
12,USA,Florida,"Cocoa Beach, Brevard County",13
13,USA,Florida,"Jacksonville Beach, Duval County",13
14,USA,Florida,"Jensen Beach, Martin County",13
15,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",12
16,SOUTH AFRICA,Western Cape Province,Mossel Bay,11
17,USA,Florida,Inconnu,11
18,USA,Florida,"Juno Beach, Palm Beach County",11
19,USA,Florida,"Ormond Beach, Volusia County",11
20,USA,Hawaii,Inconnu,11
21,ATLANTIC OCEAN,Inconnu,Inconnu,10
22,AUSTRALIA,New South Wales,Sydney,10
23,AUSTRALIA,New South Wales,Sydney Harbor,10
24,AUSTRALIA,Torres Strait,Inconnu,10
25,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",10
26,MOZAMBIQUE,Gaza,Xai Xai,10
27,SOUTH AFRICA,Eastern Cape Province,Nahoon,10
28,USA,Florida,Florida Keys,10
29,USA,Florida,"Florida Keys, Monroe County",10
30,USA,Florida,"Palm Beach, Palm Beach County",10
31,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",10
32,USA,Florida,"Vero Beach, Indian River County",10
33,AUSTRALIA,Queensland,Brisbane River,9
34,AUSTRALIA,Torres Strait,Thursday Island,9
35,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",9
36,AUSTRALIA,Inconnu,Inconnu,8
37,AUSTRALIA,New South Wales,Inconnu,8
38,AUSTRALIA,New South Wales,Newcastle,8
39,AUSTRALIA,Torres Strait,Near Thursday Island,8
40,CUBA,Havana Province,Havana Harbor,8
41,JAMAICA,Inconnu,Inconnu,8
42,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",8
43,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,8
44,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",8
45,SOUTH AFRICA,Western Cape Province,False Bay,8
46,USA,Florida,"Sanibel Island, Lee County",8
47,USA,South Carolina,"Folly Beach, Charleston County",8
48,VIETNAM,Binh Dinh Province,Quy Nhon,8
49,AUSTRALIA,New South Wales,Coogee,7
50,AUSTRALIA,Queensland,Brisbane,7
51,AUSTRALIA,Queensland,Moreton Bay,7
52,AUSTRALIA,Queensland,"Ross River, Townsville",7
53,AUSTRALIA,Western Australia,Bunbury,7
54,FIJI,Inconnu,Inconnu,7
55,HONG KONG,Mirs Bay,Inconnu,7
56,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",7
57,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,7
58,USA,Alabama,"Gulf Shores, Baldwin County",7
59,USA,California,"Huntington Beach, Orange County",7
60,USA,Florida,"Daytona Beach Shores, Volusia County",7
61,USA,Florida,"Fort Lauderdale, Broward County",7
62,USA,Florida,"Jacksonville, Duval County",7
63,USA,Florida,"Marathon, Monroe County",7
64,USA,Florida,"Pensacola Bay, Escambia County",7
65,USA,Florida,"Riviera Beach, Palm Beach County",7
66,AUSTRALIA,New South Wales,Bondi,6
67,AUSTRALIA,New South Wales,Byron Bay,6
68,AUSTRALIA,New South Wales,Wollongong,6
69,AUSTRALIA,Queensland,Great Barrier Reef,6
70,AUSTRALIA,Queensland,Townsville,6
71,NEW CALEDONIA,Inconnu,Inconnu,6
72,NEW ZEALAND,South Island,Oreti Beach,6
73,SOUTH AFRICA,Eastern Cape Province,East London,6
74,SOUTH AFRICA,Eastern Cape Province,Port Alfred,6
75,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,6
76,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",6
77,USA,Florida,"Bethune Beach, Volusia County",6
78,USA,Florida,"Jupiter, Palm Beach County",6
79,USA,Florida,"Key West, Monroe County",6
80,USA,Florida,New Smyrna Beach,6
81,USA,Florida,"Panama City, Bay County",6
82,USA,Florida,"Playalinda Beach, Brevard County",6
83,USA,Hawaii,Maui,6
84,USA,North Carolina,"Ocean Isle, Brunswick County",6
85,USA,South Carolina,Charleston,6
86,USA,Texas,Galveston,6
87,AUSTRALIA,New South Wales,Lake Macquarie,5
88,AUSTRALIA,New South Wales,Lennox Head,5
89,AUSTRALIA,Northern Territory,Darwin,5
90,AUSTRALIA,Western Australia,Albany,5
91,AUSTRALIA,Western Australia,Rottnest Island,5
92,BAHAMAS,New Providence Island,Nassau,5
93,EGYPT,Mediterranean Sea,Port Said,5
94,NEW CALEDONIA,South Province,Noumea,5
95,PACIFIC OCEAN,Inconnu,Inconnu,5
96,PHILIPPINES,Inconnu,Inconnu,5
97,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",5
98,SOUTH AFRICA,Inconnu,Inconnu,5
99,SOUTH AFRICA,KwaZulu-Natal,"Back Beach, Durban",5
100,SOUTH AFRICA,KwaZulu-Natal,Isipingo,5
101,SOUTH AFRICA,KwaZulu-Natal,Margate,5
102,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,5
103,SOUTH AFRICA,Western Cape Province,Macassar,5
104,SOUTH AFRICA,Western Cape Province,Muizenberg,5
105,USA,California,"La Jolla, San Diego County",5
106,USA,California,"San Onofre, San Diego County",5
107,USA,Florida,"Fernandina Beach, Nassau County",5
108,USA,Florida,"Flagler Beach, Flagler County",5
109,USA,Florida,"Fort Pierce, St. Lucie County",5
110,USA,Florida,"Miami Beach, Miami-Dade County",5
111,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",5
112,USA,Florida,Palm Beach County,5
113,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",5
114,USA,Florida,"Ponce de Leon Inlet, Volusia County",5
115,USA,Florida,"Stuart Beach, Martin County",5
116,USA,North Carolina,"Emerald Isle, Carteret County",5
117,USA,North Carolina,"Wrightsville Beach, New Hanover County",5
118,USA,South Carolina,"Hilton Head Island, Beaufort County",5
119,USA,South Carolina,Inconnu,5
120,USA,South Carolina,"North Myrtle Beach, Horry County",5
121,USA,Texas,South Padre Island,5
122,AUSTRALIA,New South Wales,Avoca Beach,4
123,AUSTRALIA,New South Wales,Cronulla,4
124,AUSTRALIA,New South Wales,Evans Head,4
125,AUSTRALIA,New South Wales,Jervis Bay,4
126,AUSTRALIA,New South Wales,"Marineland, Sydney",4
127,AUSTRALIA,New South Wales,Maroubra,4
128,AUSTRALIA,New South Wales,Parramatta River,4
129,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",4
130,AUSTRALIA,South Australia,Glenelg,4
131,AUSTRALIA,South Australia,Streaky Bay,4
132,AUSTRALIA,Western Australia,Geraldton,4
133,BAHAMAS,Abaco Islands,Inconnu,4
134,BRAZIL,Inconnu,Inconnu,4
135,BRAZIL,Pernambuco,Paiva,4
136,BRAZIL,Pernambuco,Piedade Beach,4
137,BRAZIL,Pernambuco,"Piedade Beach, Recife",4
138,BRAZIL,Pernambuco,"Piedade, Recife",4
139,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",4
140,CUBA,Havana Province,Cojimar,4
141,FRENCH POLYNESIA,Society Islands,Tahiti,4
142,INDONESIA,Bali,Balian,4
143,JAMAICA,Kingston Parish,Kingston Harbor,4
144,MEXICO,Inconnu,Inconnu,4
145,MEXICO,Tamaulipas,Tampico,4
146,MEXICO,Veracruz,"Villa del Mar Beach, Veracruz",4
147,PAPUA NEW GUINEA,New Ireland Province,Inconnu,4
148,SOLOMON ISLANDS,Inconnu,Inconnu,4
149,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,4
150,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",4
151,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,4
152,SOUTH AFRICA,KwaZulu-Natal,"Battery Beach, Durban",4
153,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,4
154,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",4
155,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,4
156,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,4
157,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,4
158,SOUTH AFRICA,Western Cape Province,Arniston,4
159,SOUTH AFRICA,Western Cape Province,Dyer Island,4
160,SOUTH AFRICA,Western Cape Province,Hartenbos,4
161,USA,California,"Dillon Beach, Marin County",4
162,USA,California,Farallon Islands,4
163,USA,California,"Franklin Point, San Mateo County",4
164,USA,California,"Moonstone Beach, Humboldt County",4
165,USA,California,"San Onofre State Beach, San Diego County",4
166,USA,California,"Santa Monica, Los Angeles County",4
167,USA,California,"Tomales Point, Marin County",4
168,USA,California,"Venice Beach, Los Angeles County",4
169,USA,Florida,"Anna Maria Island, Manatee County",4
170,USA,Florida,"Floridana Beach, Brevard County",4
171,USA,Florida,"Indialantic, Brevard County",4
172,USA,Florida,"Indiatlantic, Brevard County",4
173,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",4
174,USA,Georgia,"Tybee Island, Chatham County",4
175,USA,Hawaii,Kauai,4
176,USA,Hawaii,"Olowalu, Maui",4
177,USA,Inconnu,Inconnu,4
178,USA,New Jersey,"Atlantic City, Atlantic County",4
179,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",4
180,USA,North Carolina,"Bald Head Island, Brunswick County",4
181,USA,North Carolina,"North Topsail Beach, Onslow County",4
182,USA,South Carolina,"Charleston Harbor, Charleston County",4
183,USA,South Carolina,"Pawleys Island, Georgetown County",4
184,USA,South Carolina,Sullivan's Island,4
185,AUSTRALIA,New South Wales,"Bar Beach, Newcastle",3
186,AUSTRALIA,New South Wales,"Botany Bay, Sydney",3
187,AUSTRALIA,New South Wales,Brunswick Heads,3
188,AUSTRALIA,New South Wales,Crescent Head,3
189,AUSTRALIA,New South Wales,Hawkesbury River,3
190,AUSTRALIA,New South Wales,Lighthouse Beach,3
191,AUSTRALIA,New South Wales,Maroubra Beach,3
192,AUSTRALIA,New South Wales,Newcastle Beach,3
193,AUSTRALIA,New South Wales,North Bondi,3
194,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",3
195,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",3
196,AUSTRALIA,Queensland,"Cid Harbor, Whitsundays",3
197,AUSTRALIA,Queensland,Fraser Island,3
198,AUSTRALIA,Queensland,Inconnu,3
199,AUSTRALIA,Queensland,Lizard Island,3
200,AUSTRALIA,Queensland,Mermaid Waters,3
201,AUSTRALIA,Queensland,Near Moreton Island in Moreton Bay,3
202,AUSTRALIA,Queensland,North West Island,3
203,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",3
204,AUSTRALIA,Queensland,Sunshine Beach,3
205,AUSTRALIA,South Australia,Adelaide,3
206,AUSTRALIA,South Australia,Ardrossan,3
207,AUSTRALIA,South Australia,Middleton Beach,3
208,AUSTRALIA,Tasmania,Inconnu,3
209,AUSTRALIA,Torres Strait,Badu Island,3
210,AUSTRALIA,Torres Strait,Near Mabuiag Island,3
211,AUSTRALIA,Victoria,Port Melbourne,3
212,AUSTRALIA,Victoria,Port Phillip Bay,3
213,AUSTRALIA,Western Australia,Broome,3
214,AUSTRALIA,Western Australia,Coral Bay,3
215,AUSTRALIA,Western Australia,Cottesloe Beach,3
216,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",3
217,AUSTRALIA,Western Australia,Fremantle,3
218,AUSTRALIA,Western Australia,Yallingup,3
219,BAHAMAS,Abaco Islands,Grand Cay,3
220,BAHAMAS,Abaco Islands,Green Turtle Cay,3
221,BAHAMAS,Inconnu,Bimini,3
222,BERMUDA,Inconnu,Inconnu,3
223,COSTA RICA,Cocos Island,Manuelita,3
224,COSTA RICA,Guanacaste,Playa Grande,3
225,CROATIA,Primorje-Gorski Kotar County,Rijeka,3
226,CUBA,Inconnu,Inconnu,3
227,EGYPT,St. Johns Reef,Habili Gafar,3
228,ENGLAND,Inconnu,Inconnu,3
229,GRENADA,St. Andrew Parish,Grenville,3
230,HONG KONG,Inconnu,Inconnu,3
231,INDIA,Inconnu,Inconnu,3
232,IRAN,Shatt-al-Arab River,Bashamir,3
233,IRAQ,Basrah,Shatt-al-Arab River,3
234,JAPAN,Ehime Prefecture,Matsuyama,3
235,JAPAN,Inconnu,Inconnu,3
236,MADAGASCAR,Inconnu,Inconnu,3
237,MEXICO,Baja California,Guadalupe Island,3
238,MEXICO,Guerrero,Acapulco,3
239,MEXICO,Guerrero,"Revolcadero Beach, Acapulco",3
240,MEXICO,Quintana Roo,Inconnu,3
241,MEXICO,Veracruz,Mocambo,3
242,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",3
243,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",3
244,PAPUA NEW GUINEA,Madang Province,Madang,3
245,PAPUA NEW GUINEA,New Britain,Inconnu,3
246,PHILIPPINES,Manila,Fort Mills,3
247,SAMOA,Inconnu,Inconnu,3
248,SOMALIA,Banaadir Region,Mogadishu,3
249,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,3
250,SOUTH AFRICA,Eastern Cape Province,Cape Recife,3
251,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,3
252,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,3
253,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,3
254,SOUTH AFRICA,Eastern Cape Province,Port St. John's,3
255,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",3
256,SOUTH AFRICA,KwaZulu-Natal,LaMercy,3
257,SOUTH AFRICA,KwaZulu-Natal,Port Edward,3
258,SOUTH AFRICA,KwaZulu-Natal,Salt Rock,3
259,SOUTH AFRICA,KwaZulu-Natal,Sodwana,3
260,SOUTH AFRICA,KwaZulu-Natal,Umhlanga Rocks,3
261,SOUTH AFRICA,KwaZulu-Natal,Umkomaas,3
262,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,3
263,SOUTH AFRICA,Western Cape Province,Melkbosstrand,3
264,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",3
265,SOUTH KOREA,Inconnu,Inconnu,3
266,TANZANIA,Inconnu,"Coco Beach, Dar-es-Salaam",3
267,USA,Alabama,Mobile Bay,3
268,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",3
269,USA,California,"Hermosa Beach, Los Angeles County",3
270,USA,California,"Imperial Beach, San Diego County",3
271,USA,California,"Long Beach, Los Angeles County",3
272,USA,California,"Malibu, Los Angeles County",3
273,USA,California,"Newport Beach, Orange County",3
274,USA,California,"Pigeon Point, San Mateo County",3
275,USA,California,San Francisco Bay,3
276,USA,California,"San Miguel Island, Santa Barbara County",3
277,USA,California,Santa Barbara County,3
278,USA,Florida,"Boca Grande, Lee County",3
279,USA,Florida,"Boca Raton, Palm Beach County",3
280,USA,Florida,"Cape Canaveral, Brevard County",3
281,USA,Florida,"Cape San Blas, Gulf County",3
282,USA,Florida,"Crescent Beach, St. Johns County",3
283,USA,Florida,Fort Lauderdale,3
284,USA,Florida,"Hobe Sound, Martin County",3
285,USA,Florida,"Hollywood Beach, Broward County",3
286,USA,Florida,"Hutchinson Island, St. Lucie County",3
287,USA,Florida,"Key Largo, Monroe County",3
288,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",3
289,USA,Florida,"New Smyrna Beach,  Volusia County",3
290,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County",3
291,USA,Florida,"Pablo Beach, Jacksonville, Duval County",3
292,USA,Florida,"Pensacola, Escambia County",3
293,USA,Florida,"Ponte Vedra Beach, St Johns County",3
294,USA,Florida,"Ponte Vedra, St. Johns County",3
295,USA,Florida,"St. Augustine, St. John's County",3
296,USA,Florida,St. Lucie County,3
297,USA,Florida,"Tiger Shores Beach, Martin County",3
298,USA,Florida,"Vilano Beach, St.  Johns County",3
299,USA,Florida,Volusia County,3
300,USA,Hawaii,"Hanalei Bay, Kauai",3
301,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui",3
302,USA,Hawaii,"Kahului, Maui",3
303,USA,Hawaii,"Kanaha Beach, Maui",3
304,USA,Hawaii,"Kihei, Maui",3
305,USA,Hawaii,"Pearl Harbor, O'ahu",3
306,USA,New York,Rockaway,3
307,USA,North Carolina,"Holden Beach, Brunswick County",3
308,USA,North Carolina,Holden Beach. Brunswick County,3
309,USA,North Carolina,"Masonboro Island, New Hanover County",3
310,USA,North Carolina,"Rodanthe, Dare County",3
311,USA,Oregon,Winchester Bay,3
312,USA,Puerto Rico,"Condado Beach, San Juan",3
313,USA,Puerto Rico,Inconnu,3
314,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",3
315,USA,South Carolina,"Folly Island, near Charleston",3
316,USA,South Carolina,"Kiawah Island, Charleston County",3
317,USA,South Carolina,Off Charleston,3
318,USA,Texas,Galveston Island,3
319,USA,Texas,"Mustang Island, near Port Aransas",3
320,USA,Virginia,"Virginia Beach, Princess Anne County",3
321,VENEZUELA,Inconnu,Inconnu,3
322,YEMEN,Aden,Inconnu,3
323,AUSTRALIA,New South Wales,Avalon,2
324,AUSTRALIA,New South Wales,Bellambi Reef,2
325,AUSTRALIA,New South Wales,Bermagui,2
326,AUSTRALIA,New South Wales,Bondi Beach,2
327,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",2
328,AUSTRALIA,New South Wales,Broken Head,2
329,AUSTRALIA,New South Wales,Bronte Beach,2
330,AUSTRALIA,New South Wales,Clarence Heads,2
331,AUSTRALIA,New South Wales,Clarence River,2
332,AUSTRALIA,New South Wales,Crowdy Baay,2
333,AUSTRALIA,New South Wales,Crowdy Head,2
334,AUSTRALIA,New South Wales,"Darling Harbor, Sydney",2
335,AUSTRALIA,New South Wales,East Ballina,2
336,AUSTRALIA,New South Wales,Emerald Beach,2
337,AUSTRALIA,New South Wales,Georges River,2
338,AUSTRALIA,New South Wales,"Iron Cove, Sydney",2
339,AUSTRALIA,New South Wales,"Johnstone's Bay, Sydney",2
340,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",2
341,AUSTRALIA,New South Wales,Kempsey,2
342,AUSTRALIA,New South Wales,"Kingscliffe Beach, south of Tweed Heads",2
343,AUSTRALIA,New South Wales,"Knobby's Beach, Newcastle",2
344,AUSTRALIA,New South Wales,"Lane Cove River, Sydney Harbor (Estuary)",2
345,AUSTRALIA,New South Wales,"Lennox Head, Ballina",2
346,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",2
347,AUSTRALIA,New South Wales,Manly,2
348,AUSTRALIA,New South Wales,"Maria River, Port Macquarie, 12 miles from river mouth",2
349,AUSTRALIA,New South Wales,Maroubra Bay,2
350,AUSTRALIA,New South Wales,Mereweather Beach,2
351,AUSTRALIA,New South Wales,"Merewether Beach, Newcastle",2
352,AUSTRALIA,New South Wales,Merimbula,2
353,AUSTRALIA,New South Wales,"Middle Harbour, Sydney",2
354,AUSTRALIA,New South Wales,Mona Vale,2
355,AUSTRALIA,New South Wales,"Mona Vale, near Sydney",2
356,AUSTRALIA,New South Wales,Near Sydney,2
357,AUSTRALIA,New South Wales,Newcastle Harbor,2
358,AUSTRALIA,New South Wales,"North Brighton, Botany Bay",2
359,AUSTRALIA,New South Wales,"North Head, Sydney Harbour",2
360,AUSTRALIA,New South Wales,Parramata River,2
361,AUSTRALIA,New South Wales,Port Jackson,2
362,AUSTRALIA,New South Wales,"Redhead Beach, Newcastle",2
363,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",2
364,AUSTRALIA,New South Wales,"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)",2
365,AUSTRALIA,New South Wales,Shelly Beach,2
366,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",2
367,AUSTRALIA,New South Wales,"Sirius Cove, Sydney Harbor",2
368,AUSTRALIA,New South Wales,South West Rocks,2
369,AUSTRALIA,New South Wales,Sydney Harbour,2
370,AUSTRALIA,New South Wales,"Throsby Creek, Newcastle",2
371,AUSTRALIA,New South Wales,Tweed Heads,2
372,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",2
373,AUSTRALIA,Northern Territory,Darwin Harbour,2
374,AUSTRALIA,Northern Territory,Groote Eylandt,2
375,AUSTRALIA,Northern Territory,the pearling beds,2
376,AUSTRALIA,Queensland,Arlington Reef near Cairns,2
377,AUSTRALIA,Queensland,Batt Reef,2
378,AUSTRALIA,Queensland,Currumbin,2
379,AUSTRALIA,Queensland,Currumbin Rock,2
380,AUSTRALIA,Queensland,"Ellis Beach, 20 miles from Cairns",2
381,AUSTRALIA,Queensland,Fingal Beach,2
382,AUSTRALIA,Queensland,Fitzroy Island,2
383,AUSTRALIA,Queensland,"Gay’s Corner, Bulimba Reach of Brisbane River",2
384,AUSTRALIA,Queensland,Gladstone,2
385,AUSTRALIA,Queensland,Green Island,2
386,AUSTRALIA,Queensland,Greenmount Beach,2
387,AUSTRALIA,Queensland,Heron Island,2
388,AUSTRALIA,Queensland,"Kirra Beach, Coolangatta",2
389,AUSTRALIA,Queensland,Magnetic Island,2
390,AUSTRALIA,Queensland,Maryborough,2
391,AUSTRALIA,Queensland,Mooloolaba,2
392,AUSTRALIA,Queensland,Moreton Island,2
393,AUSTRALIA,Queensland,"Off North Keppel Island, off Yeppoon",2
394,AUSTRALIA,Queensland,Off Stradbroke Island,2
395,AUSTRALIA,Queensland,Outer Barrier Reef near Port Douglas,2
396,AUSTRALIA,Queensland,Palm Beach,2
397,AUSTRALIA,Queensland,Pancake Creek,2
398,AUSTRALIA,Queensland,Ross Creek,2
399,AUSTRALIA,Queensland,Surfer's Paradise,2
400,AUSTRALIA,Queensland,"Trinity Beach, Cairns",2
401,AUSTRALIA,Queensland,"Yeppoon, near Ross Creek",2
402,AUSTRALIA,Queensland,Yorkey’s Knob Beach near Cairns,2
403,AUSTRALIA,South Australia,Cape Jervis,2
404,AUSTRALIA,South Australia,Ceduna,2
405,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",2
406,AUSTRALIA,South Australia,Port Wakefield,2
407,AUSTRALIA,Tasmania,South Cape Bay,2
408,AUSTRALIA,Tasmania,Triabunna,2
409,AUSTRALIA,Torres Strait,Barrier Reef near Innisfail,2
410,AUSTRALIA,Torres Strait,Palm Island,2
411,AUSTRALIA,Victoria,Brighton,2
412,AUSTRALIA,Victoria,Elwood,2
413,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",2
414,AUSTRALIA,Victoria,Geelong,2
415,AUSTRALIA,Victoria,Mordialloc,2
416,AUSTRALIA,Victoria,Point Lonsdale,2
417,AUSTRALIA,Victoria,Queenscliff,2
418,AUSTRALIA,Victoria,Warrnambool,2
419,AUSTRALIA,Western Australia,Cable Beach,2
420,AUSTRALIA,Western Australia,Cheynes Beach,2
421,AUSTRALIA,Western Australia,"City Beach, Perth",2
422,AUSTRALIA,Western Australia,"Cottesloe, Perth",2
423,AUSTRALIA,Western Australia,Esperance,2
424,AUSTRALIA,Western Australia,Exmouth,2
425,AUSTRALIA,Western Australia,Floreat Beach,2
426,AUSTRALIA,Western Australia,Gracetown,2
427,AUSTRALIA,Western Australia,Hamelin Bay,2
428,AUSTRALIA,Western Australia,Inconnu,2
429,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",2
430,AUSTRALIA,Western Australia,Off Rottnest Island,2
431,AUSTRALIA,Western Australia,Perth,2
432,AUSTRALIA,Western Australia,Perth? (Margaret River District),2
433,AUSTRALIA,Western Australia,Port Kennedy Beach,2
434,AUSTRALIA,Western Australia,Shark Bay,2
435,AUSTRALIA,Western Australia,"South Point, Gracetown",2
436,AUSTRALIA,Western Australia,Swan River,2
437,AUSTRALIA,Western Australia,Trigg Beach,2
438,AZORES,Inconnu,Inconnu,2
439,BAHAMAS,Abaco Islands,Walkers Cay,2
440,BAHAMAS,Bimini Islands,Inconnu,2
441,BAHAMAS,Eleuthera,Inconnu,2
442,BAHAMAS,Exuma Islands,Inconnu,2
443,BAHAMAS,Grand Bahama Island,Freeport,2
444,BAHAMAS,Inconnu,Cat Island,2
445,BAHAMAS,West End,Tiger Beach,2
446,BARBADOS,Inconnu,Inconnu,2
447,BRAZIL,Maranhão,"Praia da Marcela, São Marcos Bay",2
448,BRAZIL,Pernambuco,Barra de Jangada,2
449,BRAZIL,Pernambuco,Candeias,2
450,BRAZIL,Pernambuco,"Pina, Recife",2
451,BRAZIL,Pernambuco,Praia do Pina,2
452,BRAZIL,Pernambuco,"Punta Del Chifre Beach, Olinda",2
453,BRAZIL,Rio de Janeiro,Cabo Frio,2
454,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay",2
455,BURMA,Rangoon,Amherst,2
456,CENTRAL PACIFIC,Inconnu,68 miles east of Wallis Island,2
457,CEYLON,Inconnu,Inconnu,2
458,COSTA RICA,Near Puntarenas,Inconnu,2
459,CRETE,Inconnu,Inconnu,2
460,CROATIA,Inconnu,Fiume,2
461,CROATIA,Primorje-Gorski Kotar County,Krk Island,2
462,CROATIA,Zadar County,"Lika-Senj, Pag Island",2
463,CUBA,Guantanamo Province,Boqueron,2
464,CUBA,Matanzas Province (north coast),Matanzas,2
465,EGYPT,"Hurghada, Red Sea Governorate",Sahl Hasheesh,2
466,EGYPT,Inconnu,Alexandria,2
467,EGYPT,Inconnu,Port Said,2
468,EGYPT,Red Sea,Safaga,2
469,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",2
470,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",2
471,ENGLAND,Dorset,Weymouth,2
472,FIJI,Kadavu,Great Astrolabe Reef,2
473,FIJI,Taveuni,Inconnu,2
474,FIJI,Vita Levu,Rewa River,2
475,FIJI,Viti Levu Island,Rewa,2
476,FIJI,Vitu Levu,Sigatoka,2
477,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,2
478,GREECE,Corfu,Inconnu,2
479,GREECE,Corfu Island,Off Royal Residence,2
480,GUAM,Inconnu,Inconnu,2
481,GUINEA,Inconnu,Inconnu,2
482,INDIA,Tamil Nadu,Chennai (formerly Madras),2
483,INDIA,Tamil Nadu,Madras,2
484,INDIAN OCEAN,Inconnu,Inconnu,2
485,INDONESIA,Bali,Balian Beach,2
486,INDONESIA,Java,Lorok Bay,2
487,IRAN,Karun River,"Hesamabad area of Shushtar, 420 km from the sea",2
488,IRAN,Karun River,"near Ahvaz, 275 km from the sea",2
489,IRAN,Shatt-al-Arab River,Inconnu,2
490,ITALY,Sicily,Stretto di Messina,2
491,ITALY,Tyrrhenian Sea,"Marciana Marina, Isola d'Elba",2
492,JAMAICA,Kingston Parish,Port Royal,2
493,JAMAICA,Kingston Parish,Port Royal Harbour,2
494,JAMAICA,Westmoreland Parish,Savanna-la-Mar,2
495,JOHNSTON ISLAND,Inconnu,Inconnu,2
496,KENYA,Coast Province,"Kilindini Harbor, Mombasa",2
497,LIBYA,Mediterranean Sea,Off Bengasi,2
498,MARSHALL ISLANDS,Alinglaplap Atoll,Island J4H,2
499,MARSHALL ISLANDS,Eniwetok Atoll,Parry Island,2
500,MARSHALL ISLANDS,Ralik Archipelago,Enewetak Atoll,2
501,MEXICO,Baja California,Ensenada,2
502,MEXICO,Baja California,Inconnu,2
