source,source_record_id,species,scientific_name,observed_at,latitude,longitude,country,locality,life_stage,basis_of_record,coordinate_uncertainty_m,dataset_name,license,source_url,retrieved_at
gbif,6159476426,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-02-10T21:03,9.967696,125.006666,Philippines,,,HUMAN_OBSERVATION,31218.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by/4.0/legalcode,https://www.gbif.org/occurrence/6159476426,2026-09-23T07:34:08.019566+00:00
gbif,6159485959,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-02-16T14:25,8.472649,-83.334613,Costa Rica,,,HUMAN_OBSERVATION,31279.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6159485959,2026-09-23T07:34:08.019566+00:00
gbif,6162784423,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-02-18T16:18:54,7.676008,-81.640768,Panama,,,HUMAN_OBSERVATION,31310.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6162784423,2026-09-23T07:34:08.019566+00:00
gbif,6162797277,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-02-13T16:07,24.183272,-110.439277,Mexico,,,HUMAN_OBSERVATION,244.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6162797277,2026-09-23T07:34:08.019566+00:00
gbif,6162841407,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-02-21T10:30,3.485326,72.736815,Maldives,,,HUMAN_OBSERVATION,31422.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6162841407,2026-09-23T07:34:08.019566+00:00
gbif,6163020848,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-02-13T16:29,24.183272,-110.439277,Mexico,,,HUMAN_OBSERVATION,244.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6163020848,2026-09-23T07:34:08.019566+00:00
gbif,6163413485,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-02-16T14:21,24.209297,-110.620094,Mexico,,,HUMAN_OBSERVATION,,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6163413485,2026-09-23T07:34:08.019566+00:00
gbif,6170817093,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-02-11T11:39,24.179294,-110.434344,Mexico,,,HUMAN_OBSERVATION,2.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6170817093,2026-09-23T07:34:08.019566+00:00
gbif,6179184657,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-02-28T13:00,24.181117,-110.349987,Mexico,,,HUMAN_OBSERVATION,5016.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6179184657,2026-09-23T07:34:08.019566+00:00
gbif,6179477596,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-02-24T12:40,-0.648022,-91.489796,Ecuador,,,HUMAN_OBSERVATION,31450.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6179477596,2026-09-23T07:34:08.019566+00:00
gbif,6184496394,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-02-20T12:21:15/2026-02-25T17:18:46,-64.5,-52.5,Antarctica,,Adult,MACHINE_OBSERVATION,111319.49,Ningaloo Outlook Whale Shark tracking,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6184496394,2026-09-23T07:34:08.019566+00:00
gbif,6185855643,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-02-28T11:14,12.951852,123.445358,Philippines,,Adult,HUMAN_OBSERVATION,31057.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by/4.0/legalcode,https://www.gbif.org/occurrence/6185855643,2026-09-23T07:34:08.019566+00:00
gbif,6188424222,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-02-23T09:53:07,-8.558029,117.615503,Indonesia,,,HUMAN_OBSERVATION,214306.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6188424222,2026-09-23T07:34:08.019566+00:00
