source,source_record_id,species,scientific_name,observed_at,latitude,longitude,country,locality,life_stage,basis_of_record,coordinate_uncertainty_m,dataset_name,license,source_url,retrieved_at
gbif,6422066082,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-06-23T12:15,21.652673,-158.173927,United States of America,,,HUMAN_OBSERVATION,30357.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6422066082,2026-09-23T07:34:02.915214+00:00
gbif,6422782999,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-06-13T11:00,-23.076465,113.791511,Australia,,,HUMAN_OBSERVATION,6286.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6422782999,2026-09-23T07:34:02.915214+00:00
gbif,6437348406,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-06-04,29.541953,34.950865,Israel,,,HUMAN_OBSERVATION,,INPA - Application,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6437348406,2026-09-23T07:34:02.915214+00:00
gbif,6440940343,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-06-04T16:00,-15.892487,145.901055,Australia,,,HUMAN_OBSERVATION,30855.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6440940343,2026-09-23T07:34:02.915214+00:00
gbif,6441474308,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-06-12T13:15,28.669676,-82.750796,United States of America,,,HUMAN_OBSERVATION,29582.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6441474308,2026-09-23T07:34:02.915214+00:00
gbif,6480734869,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-06-26T10:27,-23.134171,113.76663,Australia,,,HUMAN_OBSERVATION,59.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6480734869,2026-09-23T07:34:02.915214+00:00
gbif,6441084157,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-07-07T07:00,11.305414,124.178608,Philippines,,,HUMAN_OBSERVATION,31148.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6441084157,2026-09-23T07:34:02.915214+00:00
gbif,6469594676,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-07-24T08:37:28,30.009849,-86.459529,United States of America,,Juvenile,HUMAN_OBSERVATION,29407.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6469594676,2026-09-23T07:34:02.915214+00:00
gbif,6469845012,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-07-26T15:14:48,38.222587,-75.002452,United States of America,,,HUMAN_OBSERVATION,28270.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6469845012,2026-09-23T07:34:02.915214+00:00
gbif,6470061880,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-07-13T09:59,19.632482,-156.053293,United States of America,,,HUMAN_OBSERVATION,30545.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by/4.0/legalcode,https://www.gbif.org/occurrence/6470061880,2026-09-23T07:34:02.915214+00:00
